<<<<<<< HEAD
Tiempo: 0.001311, IDE: 10348, SocketID:4, Memoria:1372             
Tiempo: 0.001006, IDE: 10354, SocketID:4, Memoria:1372             
Tiempo: 0.886419, IDE: 4963, SocketID:4, Memoria:5104             
Tiempo: 4.236324, IDE: 2546, SocketID:5, Memoria:12392             
Tiempo: 4.279633, IDE: 2546, SocketID:4, Memoria:12392             
Tiempo: 2.327222, IDE: 2625, SocketID:5, Memoria:12392             
Tiempo: 2.350445, IDE: 2625, SocketID:4, Memoria:12392             
=======
Tiempo, IDE, SocketID, Memoria
0.000971,17303,4,1312
0.002180,17324,4,1312
0.002372,17324,8,1312
0.001468,17324,10,1312
0.001826,17324,7,1312
0.001488,17324,15,1312
0.004268,17324,4,1312
0.008959,17324,20,1312
0.001317,17324,9,1312
0.009381,17324,5,1312
0.001532,17324,21,1312
0.001462,17324,13,1312
0.005318,17324,4,1312
0.001830,17324,6,1312
0.001857,17324,4,1312
0.001232,17324,4,1312
0.001710,17324,7,1312
0.015206,17324,11,1312
0.003332,17324,12,1312
0.001798,17324,4,1312
0.001370,17324,6,1312
0.001426,17420,4,1312
0.001596,17420,5,1312
0.001503,17420,7,1312
0.001112,17420,6,1312
0.001271,17420,8,1312
0.001403,17445,10,1312
0.001146,17445,6,1312
0.001444,17445,7,1312
0.001677,17445,5,1312
0.002085,17445,4,1312
0.001008,17466,4,1312
0.001323,17511,5,1312
0.001184,17511,10,1312
0.001398,17511,6,1312
0.001755,17511,7,1308
0.001519,17511,4,1312
0.001456,17511,8,1308
>>>>>>> 3486a17473f8dfb972409d47eacb8f2f95a05046
