<<<<<<< HEAD
Tiempo: 0.003406,IDE: 10626, SocketID:4, Memoria:972             
Tiempo: 0.000946,IDE: 10650, SocketID:4, Memoria:1164             
Tiempo: 1.068600,IDE: 4892, SocketID:4, Memoria:4680             
Tiempo: 2.199819,IDE: 7119, SocketID:4, Memoria:12148             
Tiempo: 2.320724,IDE: 7119, SocketID:5, Memoria:15720             
=======
Tiempo, IDE, SocketID, Memoria
0.001851,18427,7,972
0.000943,18427,9,1164
0.000817,18427,14,1168
0.000834,18427,4,1172
0.000808,18427,8,1176
0.001396,18427,11,1180
0.000761,18427,24,1184
0.000910,18427,12,1188
0.000847,18427,13,1192
0.000786,18427,5,1200
0.000791,18427,15,1204
0.000800,18427,18,1208
0.000804,18427,6,1212
0.000801,18427,20,1216
0.000877,18427,23,1220
0.000738,18427,21,1224
0.000725,18427,10,1228
0.001146,18427,4,1236
0.000736,18427,11,1240
0.001534,18506,4,1244
0.001367,18506,6,1248
0.001076,18506,11,1252
0.001165,18506,5,1256
0.000817,18506,12,1260
0.001161,18506,8,1264
0.000819,18506,10,1272
0.001147,18506,7,1276
0.000835,18506,16,1280
0.001394,18549,5,1284
0.001223,18549,4,1288
0.001182,18549,6,1292
0.001254,18549,8,1296
0.000802,18549,12,1300
0.001256,18549,7,1304
0.000803,18549,11,1312
0.000861,18549,9,1316
0.000747,18549,16,1320
0.000840,18549,5,1324
0.000739,18549,18,1328
0.000844,18549,5,1332
0.000808,18549,9,1336
0.000745,18549,6,1340
0.000711,18549,10,1348
0.000790,18549,7,1352
0.001161,18549,8,1356
0.001148,18549,12,1360
0.000777,18549,4,1364
0.001091,18549,6,1368
0.000825,18549,11,1372
0.001045,18549,10,1376
0.000826,18549,9,1384
0.000796,18549,16,1388
0.000904,18549,13,1392
0.000824,18549,5,1396
0.001220,18549,17,1400
0.001070,18549,18,1404
0.001192,18549,19,1408
0.001216,18549,12,1412
>>>>>>> 3486a17473f8dfb972409d47eacb8f2f95a05046
